"year","market_segment","total_revenue"
2018.0,Online TA,1691283.0
2018.0,Offline TA/TO,1356887.0
2018.0,Direct,808009.0
2018.0,Groups,503464.0
2018.0,Corporate,151039.0
2018.0,Complementary,877.0
2019.0,Online TA,6591710.0
2019.0,Offline TA/TO,2856532.0
2019.0,Direct,1779817.0
2019.0,Groups,694911.0
2019.0,Corporate,280729.0
2019.0,Aviation,40155.0
2019.0,Complementary,2642.0
2020.0,Online TA,5687544.0
2020.0,Direct,1657402.0
2020.0,Offline TA/TO,1610099.0
2020.0,Groups,675934.0
2020.0,Corporate,148215.0
2020.0,Aviation,30713.0
2020.0,Complementary,1294.0
