"year","reserved_room_type","total_revenue"
2018.0,A,2766733.0
2018.0,D,817875.0
2018.0,E,461247.0
2018.0,F,157924.0
2018.0,G,132560.0
2018.0,C,88414.0
2018.0,H,45439.0
2018.0,B,40613.0
2018.0,L,754.0
2019.0,A,6826757.0
2019.0,D,2945674.0
2019.0,E,1082429.0
2019.0,F,532552.0
2019.0,G,426121.0
2019.0,C,183359.0
2019.0,B,129333.0
2019.0,H,119772.0
2019.0,L,500.0
2020.0,A,5138415.0
2020.0,D,2444566.0
2020.0,E,1045472.0
2020.0,F,474615.0
2020.0,G,366428.0
2020.0,C,210490.0
2020.0,H,87720.0
2020.0,B,43494.0
